Model,Feature_Set,Configuration,Fold,Accuracy
Bagging,No Gender/Grade,n_estimators=100,4,0.5268817204301075
Bagging,No Gender/Grade,n_estimators=100,5,0.5483870967741935
Stacking,No Gender/Grade,default,1,0.6382978723404256
Stacking,No Gender/Grade,default,2,0.5698924731182796
Stacking,No Gender/Grade,default,3,0.3978494623655914
Stacking,No Gender/Grade,default,4,0.5161290322580645
Stacking,No Gender/Grade,default,5,0.5591397849462365
DecisionTree,Demographics only,max_depth=None,1,0.5212765957446809
DecisionTree,Demographics only,max_depth=None,2,0.46236559139784944
DecisionTree,Demographics only,max_depth=None,3,0.5483870967741935
DecisionTree,Demographics only,max_depth=None,4,0.5161290322580645
DecisionTree,Demographics only,max_depth=None,5,0.5376344086021505
DecisionTree,Demographics only,max_depth=3,1,0.5212765957446809
DecisionTree,Demographics only,max_depth=3,2,0.46236559139784944
DecisionTree,Demographics only,max_depth=3,3,0.5483870967741935
DecisionTree,Demographics only,max_depth=3,4,0.5161290322580645
DecisionTree,Demographics only,max_depth=3,5,0.5376344086021505
DecisionTree,Demographics only,max_depth=5,1,0.5212765957446809
DecisionTree,Demographics only,max_depth=5,2,0.46236559139784944
DecisionTree,Demographics only,max_depth=5,3,0.5483870967741935
DecisionTree,Demographics only,max_depth=5,4,0.5161290322580645
DecisionTree,Demographics only,max_depth=5,5,0.5376344086021505
DecisionTree,Demographics only,max_depth=10,1,0.5212765957446809
DecisionTree,Demographics only,max_depth=10,2,0.46236559139784944
DecisionTree,Demographics only,max_depth=10,3,0.5483870967741935
DecisionTree,Demographics only,max_depth=10,4,0.5161290322580645
DecisionTree,Demographics only,max_depth=10,5,0.5376344086021505
NaiveBayes,Demographics only,var_smoothing=1e-09,1,0.5212765957446809
NaiveBayes,Demographics only,var_smoothing=1e-09,2,0.3870967741935484
NaiveBayes,Demographics only,var_smoothing=1e-09,3,0.45161290322580644
NaiveBayes,Demographics only,var_smoothing=1e-09,4,0.22580645161290322
NaiveBayes,Demographics only,var_smoothing=1e-09,5,0.5376344086021505
NaiveBayes,Demographics only,var_smoothing=1e-08,1,0.5212765957446809
NaiveBayes,Demographics only,var_smoothing=1e-08,2,0.3870967741935484
NaiveBayes,Demographics only,var_smoothing=1e-08,3,0.45161290322580644
NaiveBayes,Demographics only,var_smoothing=1e-08,4,0.22580645161290322
NaiveBayes,Demographics only,var_smoothing=1e-08,5,0.5376344086021505
NaiveBayes,Demographics only,var_smoothing=1e-07,1,0.5212765957446809
NaiveBayes,Demographics only,var_smoothing=1e-07,2,0.3870967741935484
NaiveBayes,Demographics only,var_smoothing=1e-07,3,0.45161290322580644
NaiveBayes,Demographics only,var_smoothing=1e-07,4,0.22580645161290322
NaiveBayes,Demographics only,var_smoothing=1e-07,5,0.5376344086021505
NaiveBayes,Demographics only,var_smoothing=1e-06,1,0.5212765957446809
NaiveBayes,Demographics only,var_smoothing=1e-06,2,0.3870967741935484
NaiveBayes,Demographics only,var_smoothing=1e-06,3,0.45161290322580644
NaiveBayes,Demographics only,var_smoothing=1e-06,4,0.22580645161290322
NaiveBayes,Demographics only,var_smoothing=1e-06,5,0.5376344086021505
KNN,Demographics only,k=3,1,0.4574468085106383
KNN,Demographics only,k=3,2,0.46236559139784944
KNN,Demographics only,k=3,3,0.45161290322580644
KNN,Demographics only,k=3,4,0.5161290322580645
KNN,Demographics only,k=3,5,0.46236559139784944
KNN,Demographics only,k=5,1,0.4574468085106383
KNN,Demographics only,k=5,2,0.46236559139784944
KNN,Demographics only,k=5,3,0.45161290322580644
